body,source
There is nothing impossible to him who will try.,Alexander the Great
A champion is someone who gets up when he can’t.,Jack Dempsey
Your big opportunity may be where you are now.,Napoleon Hill
I’ve been absolutely terrified every moment of my life– and I’ve never let it keep me from doing a single thing I wanted to do.,Georgia O’Keeffe
The best way out is always through.,Robert Frost
"If you accept the expectations of others, especially negative ones, then you will never change the outcome.",Michael Jordan
Out of difficulties grow miracles.,Jean de la Bruyere
"A man has to learn that he cannot command things, but that he can command himself; that he cannot coerce the wills of others, but that he can mold and master his own will: and things serve him who serves Truth; people seek guidance of him who is master of himself.",James Allen
"The best time to plant a tree was 20 years ago, but the second best time is now.",Chinese Proverb
The universe will reward you for taking risks on its behalf.,Shakti Gawain
"Stop complaining about the lousy curves you get thrown and stretch, reach for what you really want.",Julia Cameron
Look and you will find it– what is unsought will go undetected.,Sophocles
Learn to accept the possibility that the universe is helping you with what you are doing... Expect the universe to support you and it will.,Julia Cameron
Today you have 100% of your life left.,Tom Landry
"Do not fear the winds of adversity. Remember, a kite rises against the wind rather than with it.",Jan Carlzon
Your value doesn't decrease based on someone's inability to see your worth.,Unknown
Dare to live the life you have dreamed for yourself. Go forward and make your dreams come true.,Ralph Waldo Emerson
"Do not discourage yourself with what you haven't done, encourage yourself with what you will do.",Neale Donald Walsch
"Before you give up, think about how unfortunate it would be if the results you have worked to achieve required just a tiny dose of additional effort.  How disheartening would it be if the train you’ve been waiting for arrived five minutes after you walked out of the station?  Not only does success require diligent effort, it requires persistence and patience.",Mark Chernoff
"Rest when you are tired, but don’t quit. You never know what’s just around the corner. It could be everything you’ve been working for, or it might be just another mile marker on your journey. Either way, when you keep putting one foot in front of the other, one day the next step you take will be the one that carries you to your goal.",Mark Chernoff
Do what you do because you believe it’s the right thing to do. Do the right thing even when nobody is looking. Be one of the people who make a true difference in the world by leaving it a little better and more wholesome than you found it.,Mark Chernoff
The biggest disability is a bad mindset.,Nick Santonastasso
There is only one way to eat an elephant: one bite at a time.,Desmond Tutu
